id;name;nb_cal;ingredients;description;image;nb_likes;recipe_cooking_time;recipe_type;diet;difficulty;creation_date
EOIFN-13N8S-X011;Madeleines parfaites au citron, glaçage au café;900;2 oeufs\n100 g de farine\n100 g de sucre\n100 g de beurre salé\n1 cuillère à café rase de levure chimique\n1 cuillère à café de zeste de citron\n1 blanc d'oeuf\nLe jus d'un citron\n2 cuillères à soupe de café\n200 g de sucre glace;ETAPE 1\nFaites doucement fondre le beurre dans une casserole, puis laissez-le tiédir.\n\nETAPE 2\nDans un saladier mélangez les oeufs, le sucre et le zeste du citron. Fouettez jusqu'à ce que ce que ce mélange blanchisse.\n\nETAPE 3\nVersez la farine tamisée et la levure sur ce mélange et mélangez avec une spatule en bois, puis ajoutez le beurre fondu et mélangez à nouveau. Votre préparation est prête, il faut maintenant la laisser reposer 1 heure minimum au frigo. Profitez de ce temps pour siroter tranquillement un café.\n\nETAPE 4\nRemplissez vos moules à madeleines au trois-quarts, puis enfournez 12 minutes dans votre four préchauffé à 180 degrés C.\n\nUne fois vos madeleines sorties du four, laissez-les reposer une dizaine de minutes si vous résistez car vous allez leur apporter le détail qui change tout !  Pendant qu'elles patientent, préparez le glaçage citron-café, une petite touche acidulée qui leur donnera un gout unique et un joli marbré.\n\nETAPE 5\nPour ce glaçage, mélangez vigoureusement le blanc d'oeuf avec le sucre glace afin d'obtenir un crème blanche. Ajoutez le jus de citron et les cuillères à soupe de café, mélangez à nouveau. Nappez-en vos madeleines... et savourez !;;600;03:14:00;Dessert;0;Difficile;2018-01-01
EOIFN-13N8S-X012;Carrés choco-coco caféinés;456;Pour les carrés\n100 g de farine\n1 sachet de levure\n60 g de sucre en poudre \n80 g de beurre salé fondu\n6 cuillères à soupe d'eau\n1 oeuf\n20 g de poudre de cacao\nPour la crème de coco\n130 g de mascarpone\n35 g de coco rapée\n1 cuillère à café de sucre vanillé\n100 g de chocolat à dessert\nUne demi-tasse de café espresso serré refroidi\n30 g de beurre;ETAPE 1\nPréchauffez votre four à 180 degrés C. Dans un saladier, mélangez la farine, le sucre, la levure et le cacao. Ajoutez le beurre fondu, l'oeuf et l'eau. Mélangez bien le tout et versez cet appareil dans un moule rectangulaire pour couper plus facilement vos carrés.\n\nETAPE 2\nEnfournez pendant une vingtaine de minutes. Puis, sortez le gateau du four et laissez-le refroidir au frais.\n\nETAPE 3\nDans un récipient, préparez la crème de coco en mélangeant le mascarpone, la noix de coco rapée et le sucre vanillé. Une fois ce mélange prêt, étalez-le sur le gateau.\n\nETAPE 4\nC'est cela qui va tout changer : préparez votre glaçage choco-café en faisant fondre le chocolat coupé en morceaux au bain-marie avec le beurre et ajoutez votre demi-tasse de café refroidi, mélangez bien.\n\nETAPE 5\nIl vous suffit maintenant de napper votre gateau recouvert de crème coco avec cette dernière couche de glaçage choco-café qui va lui apporter le subtil parfum de votre boisson préférée. Vous pouvez saupoudrer de coco rapée. Le plus difficile sera de le laisser au frais pendant 2 heures avant de pouvoir le couper en carrés et le déguster !\n ;;457;01:52:00;Dessert;0;Moyen;2018-01-01
EOIFN-13N8S-X013;Sablés au yaourt à la vanille et au subtil parfum de café;324;125 grammes de beurre mou\n1 yaourt nature (le pot servira de mesure)\n1 1 demi pot de yaourt d'huile neutre comme le tournesol\n1 1 demi pot de yaourt sucre\n1 sachet de sucre vanillé\n1 cuillère à café de poudre de vanille\n1 tasse de café espresso\n1 sachet de levure chimique\nFarine, autant que nécessaire pour obtenir une pate homogène qui ne colle pas;ETAPE 1\nDans un grand saladier, mélangez tous vos ingrédients ! Versez le yaourt, puis ajoutez le beurre mou, la dose d'huile, la dose de sucre, le sucre vanillé, la poudre de vanille, l'espresso et la levure chimique. Mélangez le tout.\n\nETAPE 2\nIncorporez peu à peu la farine jusqu'à obtenir une pate qui se travaille bien et ne colle pas.\n\nETAPE 3\nEtalez votre pate et prélevez vos sablés grace à des emporte-pièces.\n\nETAPE 4\nEnfournez vos sablés une vingtaine de minutes dans un four préalablement chauffé à 180 degrés C. Ils devraient prendre une teinte joliment colorée et être délicieusement parfumés de vanille et de café !;;811;01:45:00;Dessert;0;Moyen;2018-01-01
EOIFN-13N8S-X014;Pasteis de Nata revisités au café;158;3 jaunes d'oeuf\n100 g de sucre\n250 ml de lait\n35 g de farine\n2 cuillères à soupe de café\n2 sachets de sucre vanillé\n1 pincée de sel\n1 pate feuilletée;ETAPE 1\nGarnissez des petits moules individuels de pate feuilletée. Réservez au frais.\n\nETAPE 2\nDans une casserole, mélangez le sucre, la farine, le sucre vanillé, le lait, la pincée de sel et le café  - le petit détail qui va leur donner ce parfum délicatement caféiné. Faites cuire doucement en remuant avec une spatule en bois jusqu'à obtenir une crème qui se détache bien de la spatule.\n\nETAPE 3\nFaites refroidir hors du feu quelques minutes, puis incorporez les jaunes d'oeufs et mélangez bien.\n\nETAPE 4\nVersez cette préparation dans vos moules et mettez au four (préchauffé à 210 degrés C) une dizaine de minutes, jusqu'à ce que les pasteis soient colorés.\n\nETAPE 5\nSortez du four et dégustez tiède en saupoudrant d'un peu de cannelle vos délicieux pasteis de nata revisités au café !;;38;00:38:00;Dessert;0;Facile;2018-01-01
EOIFN-13N8S-X015;Bouchées caféinées aux 2 chocolats, caramélisé d'amandes;194;1 tablette de chocolat noir à dessert (environ 150 g)\n1 tablette de chocolat blanc (environ 150 g)\n1 tasse à café de votre espresso préféré\n10 cl de crème fleurette\n10 amandes émondées;ETAPE 1\nFaites fondre le chocolat noir au micro-ondes ou au bain-marie. Une fois prêt, tapissez-en l'intérieur de vos moules en silicone à l'aide d'un pinceau. Répétez 3 fois l'opération en faisant refroidir au frigo entre chaque couche.\n\nETAPE 2\nDe la même manière, cassez votre chocolat blanc dans un bol, ajoutez votre tasse de café et faites fondre votre chocolat blanc au bain-marie ou au four à micro-ondes.\n\nETAPE 3\nFaites monter votre crème fleurette en chantilly et mélangez-la délicatement à votre mélange de chocolat blanc parfumé au café. Vous allez obtenir une mousse au chocolat blanc délicieusement caféinée.\n\nETAPE 4\nA l'aide d'une poche à douille, remplissez de mousse les moules en chocolat noir (que vous aurez préalablement démoulés), puis réservez au frais.\n\nETAPE 5\nDans une petite casserole faites caraméliser votre sucre, puis ajouter les amandes et enrobez-les bien de caramel. Versez-les sur du papier sulfurisé en veillant à bien les séparer les unes des autres.\n\nETAPE 6\nSortez les moules remplis de mousse et déposez sur chacun un cerneau de noix caramélisé. C'est prêt, servez-les avec votre café gourmand si vous résistez à l'envie de dévorer une par une toutes ces gourmandes bouchées !;;12;03:25:00;Dessert;0;Difficile;2018-01-01
EOIFN-13N8S-X016;Sauce chocolat;135;250 g de chocolat pâtisser\n10 cl de crème fraîche\n10 cl d'eau;ETAPE 1\nFaire fondre le chocolat au bain-marie avec l'eau, sur feu doux (il ne faut pas laisser bouillir).\n\nETAPE 2\nLorsque la préparation est assez lisse, ajouter la crème fraîche.\n\nETAPE 3\nConserver au bain-marie, jusqu'au moment de servir.;;385;00:15:00;Sauce;0;Facile;2018-01-01
EOIFN-13N8S-X017;Sauce hollandaise;186;50 g de beurre\n1 jaune d'œuf\n 1 huitième de citron\nPoivre\nSel;ETAPE 1\nPressez le jus du citron, réservez. Coupez le beurre en dés.\n\nETAPE 2\nBattez les jaunes d'oeufs avec 2 cuillerées à soupe d'eau froide. \n\nETAPE 3\nPlacez dans un bain-marie chaud et fouettez jusqu'à l'obtention d'une crème mousseuse et légère.\n\nETAPE 4\nAjoutez alors le beurre en morceaux en plusieurs fois, en fouettant bien à chaque fois. \n\nETAPE 5\nSalez, poivrez et incorporez le jus du citron avant de servir. ;;38;00:20:00;Sauce;0;Facile;2018-01-01
EOIFN-13N8S-X018;Sauce tomate;133;170 g de tomate\n1/6 oignon\n1/3 gousse d'ail\nPoivre\nSel\nSucre;ETAPE 1\nMettre les tomates entières dans la cocotte (pas besoin de les peler ni épépiner) \n\nETAPE 2\nAjouter l'oignon, l'ail, le sel et le poivre et un verre d'eau pour que les tomates n'attachent pas en début de cuisson. \n\nETPAE 3\nCouvrir et laisser mijoter pendant une heure environ. Mixer le tout au blender pendant 2 min et passer le jus au moulin à légumes (tamis fin) ou à la passoire. Les pépins et les peaux y resteront et vous aurez moins de travail et de gaspillage. \n\nETAPE 4\nRectifier l'acidité de la sauce selon votre goût avec du sucre. Cette sauce ainsi obtenue pourra facilement se congeler (j'utilise les bouteilles plastiques de lait) et être utilisée pour toutes les recettes en ajoutant les herbes et condiments de votre choix. Souvent je fais fondre un peu de beurre et 2 cuillerées à soupe de farine et je rajoute la sauce et mélangeant bien avec un fouet, avec du riz ou des pâtes et quelques œufs durs, les enfants en raffolent!;;100;01:10:00;Sauce;0;Facile;2018-01-01
EOIFN-13N8S-X019;Sauce cocktail;189;12,5 cl de sauce tomate\n87,5 g de mayonnaise\n1/4 goutte de tabasco\n1/2 cuillère à café de sauce worcestershire\n1/8 cuillère à café de jus de citron\nPoivre\nSel;ETAPE 1\nMélanger tous les ingrédients dans un petit saladier. Garnir d'une tranche de citron.;;75;00:05:00;Sauce;0;Facile;2018-01-01
EOIFN-13N8S-X020;Velouté de Potiron et Carottes;335;250g de potiron\n125g de carotte\n1/2 pomme de terre\n1/4 gousse d'ail\n1/4 oignon\n1/8 L de lait\n1/8 L de bouillon de volaille\n1/4 cuillère à soupe d'huile d'olive\nPersil\nPoivre\nSel\nMuscade\n2,5 cl de crème liquide;"ETAPE 1\nÉplucher et couper en dés le potiron, les pommes de terre, les carottes en rondelles. \n\nETAPE 2\nEmincer l'ail et l'oignon. \n\nETAPE 3\nFaire suer l'oignon dans l'huile d'olive. \n\nETAPE 4\nAjouter tous les légumes et l'ail puis verser le bouillon et le lait. \n\nETAPE 5\nSaler, poivrer, ""muscader"" et laisser cuire environ une trentaine de minutes. \n\nETAPE 6\nMixer le tout (ajouter éventuellement la crème) et rectifier l'assaisonnement si nécessaire. \n\nETAPE 7\nBon appérit !";;500;01:00:00;Plat;1;Facile;2018-01-01
EOIFN-13N8S-X021;Pain;254;500 g de farine type 55\n1 sachet de levure de boulangerie en granulés à temps de levée réduite\n1,5 verre d'eau chaude\n1 cuillère à café de sel\n1 cuillère à soupe d'huile d'olive ;"ETAPE 1\nMélangez la farine, l'huile d'olive, le sachet de levure, le sel et ajoutez l'eau. Malaxez jusqu'à l'obstention d'une pâte homogène. Le geste est important: faites comme si vous étiez en train de plier un mouchoir avec la pâte. \n\nETAPE 2\nAttention la pâte ne doit pas coller à la paroi! Rajoutez de la farine si elle colle, ou de l'eau si elle est trop sèche. \n\nETAPE 3\nPrenez un moule à cake et tapissez de papier cuisson, mettez le pain, faites les croisillons avec un couteau pointu. \n\nETAPE 4\nPrenez un torchon propre, mouillez-le et mettez-le sur le pain. \n\nETAPE 5\nAttendez une heure que la pâte soit levée.
Pendant ce temps-là, préchauffez le four à thermostat 7 ou à 220 dégrés C pendant 20 mn environ. \n\nETAPE 6\nEnfournez pendant 40 mn.";;111;01:10:00;Accompagnement;0;Moyen;2018-01-01
EOIFN-13N8S-X022;Mojito cubain;134;3 cuillères à café de sucre de canne en poudre\n1/2 citron vert\n1 branche de menthe bien fournie\nEau gazeuse\nRhum\nGlaçons;ETAPE 1\nDans un verre de taille moyenne (contenance 40 cl environ), mettez 3 cuillères à café de sucre de canne. \n\nETAPE 2\nAjoutez-y le jus d'1/2 citron vert. \n\nETAPE 3\nCoupez en 3 ou 4 votre branche de menthe et mettez-la dans le verre (le fait de la couper permet à la saveur de la menthe de mieux se diffuser).\n\nETAPE 4\nAjoutez un peu d'eau gazeuse (environ 3 cl) puis avec une cuillère à café, remuez bien le tout et écrasez la menthe (insistez sur les branches plus que sur les feuilles, sinon il y aura pleins de petits bouts de menthe assez désagréables au moment de déguster votre cocktail!). \n\nETAPE 5\nAjoutez 5 glaçons environ. \n\nETAPE 6\nEnsuite versez 6 cl de rhum (en versant à débit moyen). Pour la dose plutôt chargée, comptez jusqu'à 5, pour la dose légère jusqu'à 4. \n\nEtape 7\nEnfin, complétez avec de l'eau gazeuse. ;;245;00:05:00;Boisson;1;Moyen;2018-01-01
EOIFN-13N8S-X023;Punch délicieux;245;1/15 l de jus de banane \n1/15 l de goyave \n1/15 l de jus d'ananas \n1/15 l de jus d'orange\n1/15 jus de citron vert\n1/15 gousse de vanille \n2/15 verre de sucre liquide\n4/15 cuillère à soupe de vanille liquide\nPoivre du moulin + un peu de cannelle;ETAPE 1\nDans une cocotte, versez tous les ingrédients. \n\nETAPE 2\nFermez le couvercle, et laissez macérer pendant 12 h... ça n'en sera que meilleur!\n\nETAPE 3\nSi vous n'avez pas le temps de le laisser macérer, ce n'est pas grave : il sera délicieux quand même!;;340;00:10:00;Boisson;0;Facile;2018-01-01
EOIFN-13N8S-X024;Grog au rhum;100;Rhum brun ambré\nCitron\nMiel\nEau;"ETAPE 1\nMettre l'eau à chauffer.\n\nETAPE 2\nPendant ce temps, presser le jus d'1/2 citron.\n\nETAPE 3\n	Dans une chope mettre 2 cuillères à café de miel, le jus de citron, et la valeur d'un petit verre à liqueur de rhum. \n\nETAPE 4\nQuand l'eau commence à faire de petites bulles, vider dans la chope. \n\nETAPE 5\nBoire dès que la température le permet....";;5;00:08:00;Boisson;0;Facile;2018-01-01
EOIFN-13N8S-X025;Piña colada;0;200 ml de lait de coco (grande surface, rayon exotique)\n1/2 l de jus d'ananas\n1/4 l de jus de banane\n12.5 cl de rhum blanc\n1 cuillère à café d'extrait de vanille\n1/2 bâton de cannelle\n1/2 muscade râpée;ETAPE 1\nUstensiles : 1 blender ou à défaut un mixer\n\nETAPE 2\nLa veille verser les jus d'ananas et de banane ainsi que le rhum dans un grand saladier, rajouter la vanille, le bâton de cannelle et le râpé de noix de muscade, le tout étant bien sûr facultatif mais après quelques essais je la trouve meilleure ainsi. \n\nETAPE 3\nMélanger le tout puis passer au blender avec le lait de coco, mettez ensuite le saladier au frigo jusqu'à environ 10 mn de l'apéro. \n\nETAPE 4\nAu moment de servir verser dans le blender à travers une passoire afin de récuperer la cannelle (pas forcément agréable sous la dent) puis faites mousser avant de remplir les verres sans avoir oublié le lit de glace pilée et enfin déguster. \n\nETAPE 5\nAlors bien sûr comme c'est frais le rhum ne se sent pas de suite mais il est bien présent, vous pouvez donc diminuer ou même enlever le rhum, ce serra toujours aussi bon et les enfants pourront en profiter. ;;10;00:15:00;Boisson;0;Difficile;2018-01-01
EOIFN-13N8S-X026;Caipirinha;100;4 doses de cachaça (60 ml - alcool de sucre de canne brésilien)\n1 dose de jus de citron vert frais (15 ml)\n1 cuillère à soupe de sucre cristallisé\nCitron vert;ETAPE 1\nDans un shaker, mélanger tous les ingrédients à de la glace pilée. Bien agiter. Passer dans un verre à whisky rafraîchi, sur glaçons.;;75;00:03:00;Boisson;0;Facile;2018-01-01
EOIFN-13N8S-X027;Coupe Champagne;50;1/6 louche de cointreau\n1/6 louche de sucre de canne\n1/6 citron pressé\n1/6 bouteille de mousseux sec ou champagne;ETAPE 1\nMettre les ingrédients dans une soupière.\n\nETAPE 2\nVerser le mousseux.\n\nETAPE 3\nAjouter des glaçons.;;333;00:10:00;Boisson;0;Facile;2018-01-01
EOIFN-13N8S-X028;Aperol Spritz : cocktail italien pétillant;25;1/2 verre de vin blanc pétillant type Prosecco\n1/3 verre d'eau pétillante\n5/6 glaçons\n1/6 orange sanguine;ETAPE 1\nPréparer la quantité de cocktail souhaitée en respectant les proportions !\n\nETAPE 2\nGarnir de glaçons et d'un morceau d'orange (sanguine si possible). \n\nETAPE 3\nSanté !;;1;00:05:00;Boisson;0;Facile;2018-01-01
EOIFN-13N8S-X029;Purée de banane pour accompagnement;34;2 bananes\n15 cl de jus d'orange ou de clémentine\n2 cuillères à café de crème fraîche épaisse ou liquide;ETAPE 1\nEnlevez la peau des bananes.\n\nETAPE 2\nCoupez-les en rondelles et mettez-les dans une casserole.\n\nETAPE 3\nAjoutez 1/3 du jus d'orange et la crème fraîche.\n\nETAPE 4\nChauffez à feu moyen tout en écrasant les bananes avec une fourchette.\n\nETAPE 5\nAu fur et à mesure, ajoutez le reste du jus d'orange. \n\nETAPE 6\nLorsque les bananes sont bien écrasées, retirez-les du feu. \n\nETAPE 7\nVous pouvez les passer au blender pour qu'elles soient bien mixées. ;;2;00:25:00;Accompagnement;0;Facile;2018-01-01
